HS CODE,PRODUCT,IMPORTER NAME,IMPORTER ADDRESS,EXPORTER NAME,EXPORTER ADDRESS,EXPORTER COUNTRY,ORIGIN COUNTRY,ORIGIN PORT,DEST PORT,QUANTITY,UNIT OF MEASURE,N WEIGHT IN KG,CIF IN FC
15079090,OKI BRAND SOYABEAN OIL,PT. EKA BOGAINTI,"JL. RAYA PONCOL NO.2, RT 009 RW09, CIRACAS,CIRACAS JAKARTA TIMUR DKI 1",NGO CHEW HONG EDIBLE OIL PTE LTD,231 PANDAN LOOP SINGAPORE 128418,SINGAPORE,MALAYSIA,Singapore,Tanjung Priok,1318,NUMBER OF INTERNATIONAL UNIT,,23987.6
23012090,SQUID LIVER POWDER KEADAAN BAIK,PT. CJ FEED JOMBANG,MENARA JAMSOSTEK LT.21 JL. JEND.GATOT SUBROTO 38,"HANA INDUSTRIAL CO,, LTD","613 GURYANG-RI, DUSEO-MYEON, ULJU-GUN, ULSAN,","KOREA, REPUBLIC OF","KOREA, REPUBLIC OF",Busan (ex Pusan),Tanjung Perak,108,TONNE,108000,92880
12019000,U.S.NO.1 YELLOW SOYBEANS BAIK/BAGUS,PT SEGITIGA AGRO MANDIRI,"KP. PEGADUNGAN RT.003 RW.010 DESA PANTAIMAKMUR,TARUMAJAYA,BEKASI","LANSING TRADE GROUP, LLC","10975 BENSON DRIVE,SUITE 400,OVERLAND PARK,KS66210",UNITED STATES,UNITED STATES,New York,Tanjung Priok,341.825,TONNE,341825,161170.48
12019000,U.S. NO. 1 YELLOW SOYBEANS,PT. MANNA LESTARI,"JL. SUKOMANUNGGAL JAYA 3N (CSH NO 16) , KEL. SUKOMANUNGGAL, SURABAYA",LANSING TRADE GROUP LLC,"10975 BENSON DRIVE, SUITE 400 OVERLAND PARK",UNITED STATES,UNITED STATES,Norfolk,Tanjung Perak,41.123,TONNE,41123,16228.37
12019000,US NO.1 YELLOW SOYBEANS,PT. CARGILL TRADING INDONESIA,"WISMA 46 KOTA BNI LT.26 SUITE 26.01 JL. JEND.SUDIRMAN KAV.1, JAKARTA","EUSU LOGISTICS, INC. AS NVOOCC FOR CONSO","7305 IL HIGHWAY 26 PRINCETON, IL 61356",UNITED STATES,UNITED STATES,Long Beach,Tanjung Perak,393.426,TONNE,393426,146468.57
12019000,U.S. NO. 1 YELLOW SOYBEANS,PT. MANNA LESTARI,"JL. SUKOMANUNGGAL JAYA 3N (CSH NO 16) , KEL. SUKOMANUNGGAL, SURABAYA",LANSING TRADE GROUP LLC,"10975 BENSON DRIVE, SUITE 400 OVERLAND PARK",UNITED STATES,UNITED STATES,Norfolk,Tanjung Perak,41.123,TONNE,41123,16228.37
12019000,US NO. 1 YELLOW SOYBEANS BAIK/BARU,PT. MITRA BERSAMA ABADI,HAWAIIAN BLOK B/11 KOMPLEK CITY RESORT RESIDENCES BOULEVARD RT.007/01,"PERDUE AGRIBUSINESS GRAIN, LLC","PO BOX 1537 SALISBURY,MD 21802-1537",UNITED STATES,UNITED STATES,Los Angeles,Tanjung Priok,512.212,TONNE,512212,197754.81
12019000,US NO. 1 YELLOW SOYBEANS BAIK/BARU,PT. MITRA BERSAMA ABADI,HAWAIIAN BLOK B/11 KOMPLEK CITY RESORT RESIDENCES BOULEVARD RT.007/01,"PERDUE AGRIBUSINESS GRAIN, LLC","PO BOX 1537 SALISBURY,MD 21802-1537",UNITED STATES,UNITED STATES,Los Angeles,Tanjung Priok,512.212,TONNE,512212,197754.81
38231990,SOYABEAN OIL FATTY ACID (TFA-125) -,PT. ALKINDO MITRARAYA,"JL. GATOT SUBROTO KM.8 KADUJAYA CURUG,TANGERANG,BANTEN 15810","TSUNO RICE FINE CHEMICALS CO.,LTD. JAPAN","2283,CHONOMACHI,KATSURAGI-CHO,ITO-GUN,WAKAYAMA",JAPAN,JAPAN,Osaka,Tanjung Priok,14400,KILOGRAM,14400,16128
84379019,SPARE PARTS FOR RICE POLISHER FFC23 SCREEN 2.0MM,PT. ISTANA SURYA PERKASA,JL. PETEMON BARAT 73-75 KUPANG KRAJAN SAWAHAN KOTA SURABAYA JAWA TIMUR,TANCHENG FENGSHENG MACHINERY MANUFACTURI,"BEIZHANG VILLAGE,GAOFENGTOU TOWN,TANCHENG SHANDONG",CHINA,CHINA,Qingdao,Tanjung Priok,300,PCE,81,288
