id,sales
3000888,4
3000890,3
3000891,1751
3000892,0
3000893,293
3000894,9
3000895,538
3000896,547
3000897,102
3000898,114
3000899,97
3000900,2165
3000901,15
3000902,1
3000903,25
3000904,25
3000905,0
3000906,149
3000907,11
3000908,20
3000909,7
3000910,67
3000911,5
3000912,251
3000913,148
3000914,3
3000915,6
3000916,238
3000917,52
3000918,3214
3000919,16
3000920,24
3000921,1
3000922,0
3000923,2
3000924,1378
3000926,103
3000927,4
3000928,688
3000929,300
3000930,237
3000931,42
3000932,28
3000933,2618
3000934,4
3000935,0
3000936,12
3000937,14
3000938,0
3000939,161
3000940,3
3000941,3
3000942,2
3000943,11
3000944,0
3000945,166
3000946,166
3000947,0
3000948,3
3000949,118
3000950,24
3000951,1121
3000952,18
3000953,0
3000954,7
3000955,0
3000956,4
3000957,4216
3000959,682
3000960,13
3000961,1625
3000962,619
3000963,412
3000964,246
3000965,86
3000966,6441
3000967,28
3000968,0
3000969,27
3000970,23
3000971,0
3000972,430
3000973,6
3000974,5
3000975,11
3000976,35
3000977,2
3000978,601
3000979,378
3000980,2
3000981,13
3000982,412
3000983,90
3000984,2380
3000985,37
3000986,9
3000987,5
3000988,0
3000989,2
3000990,1501
3000992,186
3000993,12
3000994,870
3000995,362
3000996,183
3000997,63
3000998,33
3000999,2631
3001000,6
3001001,0
3001002,15
3001003,23
3001004,0
3001005,157
3001006,6
3001007,3
3001008,5
3001009,27
3001010,1
3001011,128
3001012,175
3001013,1
3001014,6
3001015,129
3001016,29
3001017,1212
3001018,24
3001019,2
3001020,4
3001022,4
3001023,1493
3001025,114
3001026,7
3001027,718
3001028,258
3001029,144
3001030,39
3001031,23
3001032,2602
3001033,13
3001034,0
3001035,15
3001036,14
3001037,0
3001038,141
3001039,1
3001040,3
3001041,2
3001042,32
3001043,0
3001044,135
3001045,180
3001046,0
3001047,5
3001048,80
3001049,18
3001050,1065
3001051,24
3001052,0
3001053,3
3001054,0
3001055,2
3001056,1593
3001058,166
3001059,9
3001060,1118
3001061,359
3001062,222
3001063,28
3001064,34
3001065,2796
3001066,3
3001067,0
3001068,10
3001069,23
3001070,0
3001071,180
3001072,0
3001074,2
3001075,13
3001076,1
3001077,217
3001078,238
3001079,0
3001080,5
3001081,69
3001082,84
3001083,1251
3001084,18
3001085,3
3001086,3
3001087,0
3001088,3
3001089,1605
3001091,150
3001092,3
3001093,819
3001094,312
3001095,234
3001096,91
3001097,51
3001098,2530
3001099,5
3001100,1
3001101,33
3001102,22
3001103,0
3001104,201
3001105,6
3001106,3
3001107,3
3001108,17
3001109,1
3001110,106
3001111,175
3001112,0
3001113,4
3001114,91
3001115,41
3001116,1461
3001117,23
3001118,3
3001119,3
3001120,0
3001121,2
3001122,1406
3001124,151
3001125,5
3001126,759
3001127,247
3001128,141
3001129,139
3001130,27
3001131,2037
3001132,4
3001133,0
3001134,13
3001135,18
3001136,0
3001137,156
3001139,3
3001140,2
3001141,24
3001142,1
3001143,38
3001144,126
3001145,1
3001146,3
3001147,53
3001148,35
3001149,1412
3001150,16
3001151,0
3001152,7
3001153,0
3001154,2
3001155,2746
3001157,309
3001158,7
3001159,1027
3001160,665
3001161,398
3001162,164
3001163,87
3001164,3972
3001165,13
3001166,1
3001167,26
3001168,28
3001169,0
3001170,259
3001171,0
3001172,3
3001173,7
3001174,35
3001175,4
3001176,228
3001177,242
3001178,2
3001179,8
3001180,318
3001181,55
3001182,2376
3001183,32
3001184,11
